name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin, creator, price
nissan stanza xe 1982,36.0,4,120.0,88.0,2160,14.5,1982,japan,nissan,3000
honda accord 1982,36.0,4,107.0,75.0,2205,14.5,1982,japan,honda,4500
toyota corolla 1982,34.0,4,108.0,70.0,2245,16.9,1982,japan,toyota,9000
honda civic 1982,38.0,4,91.0,67.0,1965,15.0,1982,japan,honda,5500
datsun 310 gx 1982,38.0,4,91.0,67.0,1995,16.2,1982,japan,datsun,3500
buick century limited 1982,25.0,6,181.0,110.0,2945,16.4,1982,usa,buick,3300
oldsmobile cutlass ciera 1982,38.0,6,262.0,85.0,3015,17.0,1982,usa,oldsmobile,1600
chrysler lebaron medallion 1982,26.0,4,156.0,92.0,2585,14.5,1982,usa,chrysler,10900
ford granada l 1982,22.0,6,232.0,112.0,2835,14.7,1982,usa,ford,8900
toyota celica gt-s 1982,32.0,4,144.0,96.0,2665,13.9,1982,japan,toyota,10900
chevrolet camaro 1982,27.0,4,151.0,90.0,2950,17.3,1982,usa,chevrolet,18000
ford mustang gl 1982,27.0,4,140.0,86.0,2790,15.6,1982,usa,ford,7000
volkswagen pickup 1982,44.0,4,97.0,52.0,2130,24.6,1982,europe,volkswagen,10000
dodge rampage 1982,32.0,4,135.0,84.0,2295,11.6,1982,usa,dodge,3000
chevy s10 1982,31.0,4,119.0,82.0,2720,19.4,1982,usa,chevrolet,18500
honda accord 1985,30.0,4,122.0,98.0,2410,13.0,1985,japan,honda,2800
ford mustang gt 1982,16.0,8,302.0,157.0,3122,8.5,1982,usa,ford,17500
bmw 325i 1987,21.0,6,152.0,168.0,2910,8.1,1987,europe,bmw,14470
chevrolet camaro iroc-z 1985,16.0,8,305.0,215.0,3400,7.0,1985,usa,chevrolet,30000
mercedes-benz 300e 1986,18.0,6,183.0,177.0,3360,8.0,1986,europe,mercedes,7200
porsche 944 1984,26.0,4,151.0,143.0,2866,8.3,1984,europe,porsche,12500
toyota celica gt 1983,32.0,4,116.0,96.0,2555,12.6,1983,japan,toyota,9000
audi 5000s 1985,23.0,5,151.0,102.0,2984,10.0,1985,europe,audi,4250
pontiac firebird trans am 1987,15.0,8,305.0,205.0,3333,7.8,1987,usa,pontiac,21500
volkswagen golf gti 1984,25.0,4,109.0,90.0,2400,10.0,1984,europe,volkswagen,16500
dodge daytona turbo z 1984,22.0,4,135.0,142.0,2615,7.8,1984,usa,dodge,8600
saab 900 turbo 1985,24.0,4,121.0,160.0,2825,8.5,1985,europe,saab,11900
ferrari mondial 1983,15.0,8,213.0,214.0,3373,7.2,1983,europe,ferrari,42700
buick grand national 1987,17.0,6,231.0,245.0,3545,6.1,1987,usa,buick,48700
ford taurus 1986,23.0,6,183.0,140.0,3120,10.8,1986,usa,ford,3000
mitsubishi starion 1985,19.0,4,156.0,188.0,3010,7.5,1985,japan,mitsubishi,7600
volvo 240 gl 1984,21.0,4,141.0,114.0,2910,11.0,1984,europe,volvo,7900
toyota camry 1998,24.0,4,134.0,133.0,2900,8.0,1998,japan,toyota,7900
bmw m3 2002,20.0,6,195.0,333.0,3400,5.1,2002,europe,bmw,26100
toyota rav4 2018,26.0,,4,152.0,203.0,3400,8.0,2018,japan,toyota,24000
chevrolet corvette 1984,22.0,8,350.0,205.0,3200,5.8,1984,usa,chevrolet,11100
volkswagen golf 1997,27.0,4,121.0,115.0,2700,9.0,1997,europe,volkswagen,10500
subaru impreza wrx 2004,20.0,4,122.0,227.0,3200,5.4,2004,japan,subaru,12000
audi a4 2008,24.0,4,121.0,200.0,3400,6.5,2008,europe,audi,7000
ford f-150 2015,19.0,6,213.0,282.0,4500,7.1,2015,usa,ford,8800
nissan altima 2005,26.0,4,152.0,175.0,3200,7.5,2005,japan,nissan,6500
mercedes-benz c-class 2016,24.0,4,121.0,241.0,3500,5.8,2016,europe,mercedes,22000
dodge charger 2018,25.0,6,220.0,292.0,3900,6.5,2018,usa,dodge,14000
chevrolet camaro 1989,18.0,8,350.0,245.0,3200,6.5,1989,usa,chevrolet,21500
jeep grand cherokee 1999,19.0,6,242.0,190.0,3800,8.0,1999,usa,jeep,4000
honda cr-v 2005,27.0,4,144.0,160.0,3400,8.0,2005,japan,honda,6500
pontiac gto 2004,20.0,8,364.0,400.0,3700,4.6,2004,usa,pontiac,17900
nissan 350z 2003,20.0,6,213.0,287.0,3200,5.5,2003,japan,nissan,17000
mazda miata 1990,30.0,4,98.0,116.0,2200,7.2,1990,japan,mazda,10400
chrysler 300c 2005,20.0,8,345.0,340.0,3800,6.0,2005,usa,chrysler,7000
ford explorer 2000,18.0,6,244.0,210.0,4000,8.3,2000,usa,ford,3500
toyota supra 1993,20.0,6,183.0,276.0,3200,5.6,1993,japan,toyota,65000
dodge neon 1995,28.0,4,122.0,132.0,2500,8.0,1995,usa,dodge,1000
bmw z3 1996,26.0,6,169.0,193.0,2800,6.9,1996,europe,bmw,11300
volkswagen passat 2001,24.0,4,110.0,150.0,3200,7.9,2001,europe,volkswagen,5100
chevrolet silverado 1999,18.0,8,325.0,285.0,4500,7.5,1999,usa,chevrolet,15500
nissan pathfinder 2005,21.0,6,244.0,266.0,4500,7.5,2005,japan,nissan,6000
honda fit 2007,33.0,4,91.0,109.0,2600,8.5,2007,japan,honda,1000
ford explorer 1995,18.0,6,244.0,160.0,3500,8.5,1995,usa,ford,4000
subaru outback 2000,24.0,6,183.0,250.0,3500,7.3,2000,japan,subaru,6000
chevrolet s10 1994,22.0,4,134.0,120.0,2900,9.0,1994,usa,chevrolet,6500
toyota tacoma 2005,21.0,6,241.0,236.0,3600,7.0,2005,japan,toyota,15000
mercury grand marquis 2003,18.0,8,281.0,240.0,4000,8.0,2003,usa,mercury,5000
honda accord 2008,28.0,4,144.0,190.0,3200,7.6,2008,japan,honda,6500
nissan xterra 2001,19.0,6,201.0,180.0,3800,8.0,2001,japan,nissan,15000
ford mustang 1997,19.0,6,232.0,190.0,3200,7.8,1997,usa,ford,4000
chrysler sebring 2001,24.0,4,144.0,150.0,3300,8.2,2001,usa,chrysler,5000
honda civic 1995,30.0,4,97.0,106.0,2600,8.5,1995,japan,honda,9200
mazda 6 2003,28.0,4,140.0,160.0,3200,7.5,2003,japan,mazda,3000
volvo s60 2004,24.0,5,152.0,208.0,3400,6.7,2004,europe,volvo,5000
dodge ram 1500 2002,15.0,8,360.0,245.0,5000,8.0,2002,usa,dodge,15000
toyota land cruiser fzj80 1994,15.0,8,275.0,212.0,5500,8.5,1994,japan,toyota,22900
bmw 325i e36 1995,22.0,6,152.0,189.0,3175,7.0,1995,europe,bmw,8000
honda prelude si 1993,25.0,4,137.0,160.0,2840,7.5,1993,japan,honda,11000
ford bronco xlt 1996,15.0,8,351.0,210.0,4600,9.5,1996,usa,ford,21100
nissan 300zx twin turbo z32 1990,18.0,6,183.0,300.0,3500,5.4,1990,japan,nissan,14500
jeep grand cherokee laredo 1998,18.0,6,242.0,185.0,3800,8.7,1998,usa,jeep,6000
toyota celica gt-four st205 1994,22.0,4,122.0,255.0,3250,6.0,1994,japan,toyota,17000
chevrolet camaro z28 1998,19.0,8,350.0,305.0,3465,5.2,1998,usa,chevrolet,14500
mazda mx-5 miata 1994,28.0,4,110.0,128.0,2200,8.5,1994,japan,mazda,10000
subaru impreza wrx sti 2004,19.0,4,153.0,300.0,3263,4.9,2004,japan,subaru,24700
mercedes-benz e320 w210 1996,23.0,6,195.0,217.0,3600,7.0,1996,europe,mercedes,8000
ford taurus sho 1999,18.0,8,207.0,235.0,3500,7.5,1999,usa,ford,5600
mitsubishi 3000gt vr-4 1995,19.0,6,183.0,320.0,3800,5.3,1995,japan,mitsubishi,45000
volkswagen golf gti mk4 2002,24.0,4,110.0,180.0,2900,7.2,2002,europe,volkswagen,5500
chevrolet corvette c5 1998,18.0,8,350.0,345.0,3235,4.7,1998,usa,chevrolet,21500
toyota mr2 spyder 2000,25.0,4,110.0,138.0,2200,6.8,2000,japan,toyota,10000
dodge viper gts 1998,13.0,10,488.0,450.0,3460,4.0,1998,usa,dodge,51900
porsche 911 carrera 4s 2003,20.0,6,220.0,320.0,3300,5.0,2003,europe,porsche,33000
honda s2000 2006,20.0,4,132.0,237.0,2835,5.4,2006,japan,honda,26000
ferrari f355 berlinetta 1995,14.0,8,213.0,375.0,2975,4.6,1995,europe,ferrari,118680
ford mustang gt 1999,18.0,8,281.0,260.0,3300,5.4,1999,usa,ford,18500
bmw m5 e39 2000,17.0,8,300.0,394.0,4023,4.8,2000,europe,bmw,33000
toyota supra turbo mk4 1998,19.0,6,183.0,320.0,3450,4.6,1998,japan,toyota,80000
jaguar xj8 2003,18.0,8,244.0,290.0,3850,6.6,2003,europe,jaguar,12500
subaru outback h6 2001,21.0,6,183.0,212.0,3550,8.0,2001,japan,subaru,17500
chevrolet tahoe lt 2004,15.0,8,325.0,295.0,5300,8.2,2004,usa,chevrolet,13000
nissan maxima se 1997,21.0,6,183.0,190.0,3300,7.0,1997,japan,nissan,5100
audi tt quattro 2002,22.0,4,110.0,225.0,3197,6.3,2002,europe,audi,8000
ford focus zx3 2003,25.0,4,122.0,130.0,2600,8.7,2003,usa,ford,4000
volvo s60 t5 2004,23.0,5,146.0,247.0,3400,6.6,2004,europe,volvo,6000
chrysler 300c hemi 2005,17.0,8,345.0,340.0,4160,5.3,2005,usa,chrysler,13000
honda civic si 2004,27.0,4,122.0,160.0,2740,7.6,2004,japan,honda,11000
nissan altima 3.5 se 2003,21.0,6,213.0,245.0,3280,6.2,2003,japan,nissan,3700
saab 9-3 aero 2002,24.0,4,122.0,205.0,3100,6.8,2002,europe,saab,4000
pontiac gto 2006,17.0,8,364.0,400.0,3725,4.7,2006,usa,pontiac,13000
mercedes-benz sl500 r129 1999,18.0,8,302.0,302.0,4170,6.1,1999,europe,mercedes,18000
bmw z4 roadster e85 2006,22.0,6,183.0,255.0,3130,5.6,2006,europe,bmw,16000
mitsubishi lancer evolution ix 2006,20.0,4,122.0,286.0,3263,4.7,2006,japan,mitsubishi,40000
subaru impreza wrx sti 2005,19.0,4,153.0,300.0,3360,4.6,2005,japan,subaru,24000
dodge charger srt8 2006,15.0,8,372.0,425.0,4160,4.9,2006,usa,dodge,22000
volkswagen passat w8 2003,19.0,8,244.0,270.0,3700,6.5,2003,europe,volkswagen,10000
chevrolet trailblazer ss 2006,14.0,8,364.0,395.0,4600,5.4,2006,usa,chevrolet,15000
toyota camry solara se v6 2004,23.0,6,202.0,225.0,3490,6.9,2004,japan,toyota,6000
volvo v70 r 2006,20.0,5,153.0,300.0,3700,5.6,2006,europe,volvo,16600
ford mustang shelby gt500 2008,14.0,8,330.0,500.0,3920,4.3,2008,usa,ford,35500
audi a6 3.2 fsi quattro 2007,22.0,6,195.0,255.0,3814,6.8,2007,europe,audi,10000
mazda mx-5 miata 2006,26.0,4,122.0,170.0,2480,6.7,2006,japan,mazda,13700
chevrolet corvette z06 c6 2006,18.0,8,427.0,505.0,3132,3.7,2006,usa,chevrolet,41300
porsche 911 carrera s 997 2005,21.0,6,232.0,355.0,3241,4.6,2005,europe,porsche,47500
nissan 350z touring 2007,20.0,6,213.0,306.0,3439,5.3,2007,japan,nissan,11100
volkswagen golf gti 2009,24.0,4,122.0,200.0,3200,6.8,2009,europe,volkswagen,7000
honda s2000 2007,20.0,4,134.0,237.0,2835,5.4,2007,japan,honda,31000
dodge challenger r/t 2009,16.0,8,345.0,372.0,4041,5.1,2009,usa,dodge,29500
jeep grand cherokee srt8 2008,12.0,8,372.0,420.0,4800,4.7,2008,usa,jeep,16000
audi rs4 b7 2007,16.0,8,254.0,420.0,3957,4.6,2007,europe,audi,25000
bmw m3 e92 2008,14.0,8,244.0,414.0,3704,4.1,2008,europe,bmw,25000
ford f-150 svt raptor 2010,11.0,8,379.0,411.0,6000,7.1,2010,usa,ford,24500
chevrolet camaro ss 2010,16.0,8,376.0,426.0,3860,4.7,2010,usa,chevrolet,28300
volkswagen scirocco r 2011,27.0,4,122.0,261.0,3097,5.8,2011,europe,volkswagen,13000
ferrari 458 italia 2010,14.0,8,275.0,562.0,3042,3.4,2010,europe,ferrari,200000
lamborghini aventador lp700-4 2012,10.0,12,396.0,700.0,3472,2.9,2012,europe,lamborghini,240900
porsche panamera turbo 2014,18.0,8,293.0,520.0,4400,3.7,2014,europe,porsche,45000
jaguar f-type r 2015,18.0,8,305.0,550.0,3674,3.9,2015,europe,jaguar,38500
chevrolet corvette z06 c7 2015,16.0,8,376.0,650.0,3524,2.9,2015,usa,chevrolet,75000
audi rs7 sportback 2016,18.0,8,244.0,560.0,4475,3.6,2016,europe,audi,55000
ford focus rs 2016,22.0,4,140.0,350.0,3434,4.7,2016,usa,ford,28000
bmw m2 2016,23.0,6,183.0,365.0,3450,4.2,2016,europe,bmw,33700
mercedes-amg gt s 2016,19.0,8,244.0,503.0,3560,3.7,2016,europe,mercedes,76900
honda civic type r 2017,25.0,4,122.0,306.0,3117,5.7,2017,japan,honda,32000
chevrolet camaro zl1 2017,14.0,8,376.0,650.0,3885,3.5,2017,usa,chevrolet,59000
mazda cx-5 2017,28.0,4,152.0,187.0,3500,8.7,2017,japan,mazda,18000
audi r8 v10 plus 2017,14.0,10,317.0,610.0,3669,3.2,2017,europe,audi,140000
dodge charger hellcat 2018,13.0,8,376.0,707.0,4560,3.6,2018,usa,dodge,50000
bmw m5 2018,17.0,8,268.0,600.0,4382,3.2,2018,europe,bmw,56900
jeep wrangler rubicon 2018,18.0,6,220.0,285.0,4449,7.4,2018,usa,jeep,37000
ford mustang shelby gt350 2019,14.0,8,317.0,526.0,3791,4.0,2019,usa,ford,59600
toyota supra a90 2020,24.0,6,183.0,382.0,3397,4.1,2020,japan,toyota,49700
chevrolet corvette stingray c8 2020,15.0,8,376.0,490.0,3366,2.9,2020,usa,chevrolet,65000
mazda mx-5 miata rf 2020,26.0,4,122.0,181.0,2445,6.0,2020,japan,mazda,23000
porsche 911 carrera s 992 2020,21.0,6,183.0,443.0,3360,3.5,2020,europe,porsche,95000
bmw m8 competition 2020,17.0,8,268.0,617.0,4200,3.1,2020,europe,bmw,100000
ferrari f8 tributo 2020,15.0,8,238.0,710.0,3160,2.9,2020,europe,ferrari,298000
nissan gt-r nismo 2020,16.0,6,231.0,600.0,3935,2.9,2020,japan,nissan,210000
audi rs q8 2021,15.0,8,244.0,591.0,5291,3.7,2021,europe,audi,93400
ford bronco wildtrak 2021,20.0,6,164.0,330.0,4940,6.7,2021,usa,ford,52000
toyota gr yaris 2021,29.0,3,98.0,268.0,2822,5.5,2021,japan,toyota,38000
jeep grand cherokee l summit reverse 2021,19.0,8,345.0,357.0,5290,6.4,2021,usa,jeep,62000
volkswagen golf gti 2021,28.0,4,122.0,241.0,3252,5.1,2021,europe,volkswagen,27000
chevrolet monte carlo ss 1987,15.0,8,305.0,180.0,3456,8.0,1987,usa,chevrolet,23000
toyota celica gt-four 1994,20.0,4,122.0,252.0,3170,6.0,1994,japan,toyota,16800
bmw z3 roadster 1996,24.0,4,116.0,138.0,2756,8.0,1996,europe,bmw,10200
dodge viper srt-10 2008,13.0,10,512.0,600.0,3450,3.5,2008,usa,dodge,76200
mercedes-benz 190e 2.5-16 evolution ii 1990,18.0,4,153.0,235.0,2830,7.1,1990,europe,mercedes,45000
toyota mr2 turbo 1995,24.0,4,122.0,200.0,2700,6.1,1995,japan,toyota,29400
honda civic type r ek9 1997,27.0,4,98.0,182.0,2425,6.7,1997,japan,honda,20000
chevrolet corvette z06 c5 2002,19.0,8,350.0,405.0,3118,4.0,2002,usa,chevrolet,28000
ford mustang svt cobra 1993,17.0,8,302.0,235.0,3270,6.2,1993,usa,ford,53200
toyota supra turbo mk4 1994,18.0,6,183.0,320.0,3450,4.6,1994,japan,toyota,60000
ferrari 360 modena 1999,15.0,8,219.0,395.0,3197,4.5,1999,europe,ferrari,98900
mitsubishi lancer evolution viii 2003,20.0,4,122.0,271.0,3263,4.9,2003,japan,mitsubishi,23000
nissan skyline gt-r r34 1999,18.0,6,160.0,276.0,3660,5.0,1999,japan,nissan,147000
bmw m3 e46 2001,17.0,6,195.0,333.0,3415,4.8,2001,europe,bmw,27800
lamborghini diablo sv 1995,10.0,12,348.0,510.0,3625,4.0,1995,europe,lamborghini,250000
audi s4 b5 2000,17.0,6,165.0,250.0,3549,5.6,2000,europe,audi,10000
volkswagen golf r32 mk4 2003,21.0,6,195.0,237.0,3330,6.2,2003,europe,volkswagen,17000
porsche 911 carrera s 997 2004,19.0,6,232.0,355.0,3175,4.5,2004,europe,porsche,46000
chevrolet impala ss 1996,17.0,8,350.0,260.0,4041,7.0,1996,usa,chevrolet,22500
mazda mx-5 miata nb 1999,25.0,4,110.0,140.0,2380,8.0,1999,japan,mazda,8000
jaguar xj220 1992,13.0,6,213.0,542.0,3020,3.5,1992,europe,jaguar,351100
bmw z8 2000,15.0,8,299.0,400.0,3494,4.2,2000,europe,bmw,140000
subaru legacy gt spec b 2007,18.0,4,153.0,243.0,3435,5.6,2007,japan,subaru,13000
saab 9-3 viggen 1999,19.0,4,140.0,230.0,3120,6.4,1999,europe,saab,7500
ford gt 2005,14.0,8,330.0,550.0,3485,3.5,2005,usa,ford,350000
honda nsx 1991,21.0,6,183.0,270.0,3170,5.0,1991,japan,honda,78100
plymouth prowler 1997,17.0,6,213.0,214.0,2883,5.7,1997,usa,plymouth,32000
volkswagen corrado vr6 1995,22.0,6,178.0,190.0,2855,6.7,1995,europe,volkswagen,12300
volvo 850 t-5r 1995,21.0,5,140.0,240.0,3360,6.7,1995,europe,volvo,10000
chevrolet camaro ss 1998,19.0,8,350.0,320.0,3410,5.2,1998,usa,chevrolet,18000
ferrari 550 maranello 1996,11.0,12,335.0,485.0,3725,4.2,1996,europe,ferrari,94900
mitsubishi lancer evolution vi 1999,20.0,4,122.0,280.0,2954,4.7,1999,japan,mitsubishi,33400
ford mustang svt cobra r 2000,15.0,8,330.0,385.0,3570,4.4,2000,usa,ford,120000
subaru impreza wrx sti 2004,18.0,4,153.0,300.0,3263,5.1,2004,japan,subaru,24600
ferrari f355 1995,12.0,8,213.0,375.0,2976,4.6,1995,europe,ferrari,150000
bmw m5 e39 1998,19.0,8,299.0,394.0,4023,4.8,1998,europe,bmw,20000
honda s2000 1999,24.0,4,122.0,240.0,2809,5.4,1999,japan,honda,30000
mercedes-benz slr mclaren 2003,13.0,8,330.0,617.0,3897,3.8,2003,europe,mercedes,350000
dodge viper gts 1996,12.0,10,488.0,450.0,3386,4.0,1996,usa,dodge,50000
toyota supra mk4 1993,18.0,6,183.0,320.0,3450,4.6,1993,japan,toyota,45000
audi rs2 avant 1994,17.0,5,134.0,311.0,3594,4.8,1994,europe,audi,59700
pontiac firebird trans am 1985,15.0,8,305.0,210.0,3260,7.6,1985,usa,pontiac,10000
chevrolet corvette zr-1 c4 1990,17.0,8,350.0,375.0,3460,4.4,1990,usa,chevrolet,35000
porsche 928 gts 1992,15.0,8,330.0,345.0,3649,5.2,1992,europe,porsche,73550
dodge stealth r/t twin turbo 1991,18.0,6,183.0,300.0,3790,5.2,1991,usa,dodge,15000
ford thunderbird super coupe 1989,17.0,6,232.0,210.0,3667,7.5,1989,usa,ford,12000
mercedes-benz 500e 1991,16.0,8,302.0,322.0,4000,5.5,1991,europe,mercedes,35000
jaguar xjr 1997,18.0,8,244.0,370.0,4095,5.6,1997,europe,jaguar,8000
toyota mr2 turbo 1991,24.0,4,122.0,200.0,2809,6.1,1991,japan,toyota,18100
chevrolet lumina z34 1991,19.0,6,207.0,210.0,3240,7.0,1991,usa,chevrolet,9000
volkswagen corrado vr6 1992,21.0,6,177.0,178.0,2866,6.4,1992,europe,volkswagen,18700
buick regal gs 1997,18.0,6,231.0,240.0,3500,6.7,1997,usa,buick,5500
toyota supra turbo 1987,20.0,6,183.0,230.0,3450,6.4,1987,japan,toyota,27400
porsche 911 carrera 964 1989,17.0,6,219.0,247.0,3000,5.2,1989,europe,porsche,59990
bmw z3 m roadster 1997,20.0,6,195.0,240.0,3175,5.4,1997,europe,bmw,20000
mitsubishi 3000gt vr-4 1991,18.0,6,183.0,300.0,3760,5.2,1991,japan,mitsubishi,20200
chevrolet camaro z28 1985,16.0,8,305.0,215.0,3270,6.9,1985,usa,chevrolet,22310
ferrari testarossa 1984,11.0,12,302.0,390.0,3660,5.3,1984,europe,ferrari,145000
honda prelude si 1987,24.0,4,122.0,135.0,2660,9.0,1987,japan,honda,13000
ford taurus sho 1989,19.0,6,183.0,220.0,3235,6.6,1989,usa,ford,10000
ford mustang svo 1984,21.0,4,140.0,205.0,3088,6.8,1984,usa,ford,14000
bmw m5 e28 1985,16.0,6,210.0,282.0,3483,6.5,1985,europe,bmw,40000
toyota celica all-trac turbo 1988,20.0,4,122.0,190.0,3240,7.5,1988,japan,toyota,21500
dodge viper rt/10 1992,12.0,10,488.0,400.0,3400,4.6,1992,usa,dodge,57000
subaru svx 1992,17.0,6,202.0,230.0,3590,7.3,1992,japan,subaru,6000
nissan pulsar gti-r 1990,20.0,4,122.0,227.0,2750,5.4,1990,japan,nissan,22200
pontiac fiero gt 1986,19.0,6,173.0,140.0,2700,8.2,1986,usa,pontiac,11000
pontiac bonneville ssei 1992,17.0,6,231.0,205.0,3600,7.6,1992,usa,pontiac,5000
pontiac grand prix gtp 1997,18.0,6,231.0,240.0,3534,6.6,1997,usa,pontiac,14000
pontiac firebird formula 1998,18.0,8,350.0,305.0,3386,5.1,1998,usa,pontiac,15000
pontiac grand am se 1985,22.0,4,151.0,92.0,2600,10.5,1985,usa,pontiac,7300
pontiac sunbird gt turbo 1987,24.0,4,110.0,165.0,2650,8.0,1987,usa,pontiac,7000
pontiac bonneville sse 1988,19.0,6,231.0,150.0,3300,9.1,1988,usa,pontiac,8000
pontiac trans sport 1990,18.0,6,191.0,120.0,3700,11.0,1990,usa,pontiac,3000
pontiac aztek 2001,19.0,6,207.0,185.0,3764,10.3,2001,usa,pontiac,3500
pontiac solstice 2006,20.0,4,145.0,177.0,2860,7.2,2006,usa,pontiac,9000
peugeot 205 gti 1984,28.0,4,97.0,105.0,2116,8.7,1984,europe,peugeot,23200
peugeot 505 turbo 1986,22.0,4,134.0,142.0,3050,8.5,1986,europe,peugeot,10000
peugeot 405 mi16 1988,24.0,4,116.0,160.0,2646,8.2,1988,europe,peugeot,9750
peugeot 306 s16 1993,25.0,4,122.0,155.0,2535,8.3,1993,europe,peugeot,7000
peugeot 309 gti 1989,27.0,4,116.0,130.0,2237,8.0,1989,europe,peugeot,18500
peugeot 406 coupe v6 1997,21.0,6,183.0,194.0,3195,8.0,1997,europe,peugeot,7000
peugeot 206 gti 1999,30.0,4,122.0,138.0,2380,8.0,1999,europe,peugeot,2600
peugeot 406 coupe 1997,23.0,6,183.0,194.0,3285,8.0,1997,europe,peugeot,6000
peugeot 607 v6 2000,20.0,6,183.0,210.0,3582,8.1,2000,europe,peugeot,5500
peugeot 307 cc 2003,27.0,4,122.0,138.0,3060,10.3,2003,europe,peugeot,3000
peugeot 307 hdi 2001,47.0,4,122.0,110.0,2860,11.1,2001,europe,peugeot,1500
peugeot 407 hdi 2004,38.0,4,122.0,138.0,3461,11.0,2004,europe,peugeot,2500
saab 900 turbo 1984,22.0,4,122.0,160.0,2775,8.5,1984,europe,saab,10200
saab 9000 turbo 1986,20.0,4,122.0,160.0,3070,8.0,1986,europe,saab,14000
saab 900 convertible 1987,21.0,4,122.0,135.0,2940,9.0,1987,europe,saab,16000
saab 9000 cd 1991,24.0,4,140.0,200.0,3270,7.5,1991,europe,saab,3000
saab 900 se turbo 1994,23.0,4,122.0,185.0,3000,7.2,1994,europe,saab,12000
saab 9-5 aero 2002,20.0,4,140.0,250.0,3400,6.5,2002,europe,saab,2500
saab 9-3 sport sedan 2003,24.0,4,122.0,210.0,3300,7.0,2003,europe,saab,5000
opel manta gsi 1983,25.0,4,110.0,115.0,2430,9.5,1983,europe,opel,10000
opel kadett gsi 1984,27.0,4,110.0,115.0,2150,9.0,1984,europe,opel,10000
opel calibra 16v 1990,24.0,4,122.0,150.0,2710,8.0,1990,europe,opel,2400
opel astra gsi 1993,26.0,4,122.0,150.0,2600,8.5,1993,europe,opel,5000
opel zafira a opc 2001,21.0,4,122.0,192.0,3280,7.6,2001,europe,opel,4000
opel speedster 2003,29.0,4,134.0,147.0,2070,5.9,2003,europe,opel,28000
opel monza gse 1984,20.0,6,183.0,180.0,3100,8.0,1984,europe,opel,30000
opel senator 3.0i 24v 1987,19.0,6,183.0,204.0,3420,7.8,1987,europe,opel,4500
opel kadett gsi 16v 1988,28.0,4,122.0,156.0,2375,7.8,1988,europe,opel,10000
opel astra f gsi 16v 1991,25.0,4,122.0,150.0,2510,8.2,1991,europe,opel,6000
opel vectra a turbo 4x4 1992,22.0,4,122.0,204.0,3130,7.0,1992,europe,opel,7000
opel corsa b gsi 1993,32.0,4,97.0,109.0,2200,9.0,1993,europe,opel,5000
opel calibra turbo 4x4 1995,23.0,4,122.0,204.0,3110,6.7,1995,europe,opel,9000
opel astra h opc 2005,24.0,4,122.0,240.0,3300,6.4,2005,europe,opel,12000
fiat panda 1000 clx 1991,30.0,4,61.0,45.0,1540,16.0,1991,europe,fiat,4000
fiat punto gt 1993,24.0,4,85.0,133.0,2210,7.9,1993,europe,fiat,6000
fiat coupe 2.0 20v turbo 1996,22.0,5,122.0,220.0,2900,6.5,1996,europe,fiat,12000
fiat bravo hgt 1997,23.0,5,122.0,147.0,2720,8.4,1997,europe,fiat,3000
fiat multipla 1.9 jtd 1999,35.0,4,116.0,110.0,3200,12.0,1999,europe,fiat,2000
oldsmobile cutlass supreme brougham 1983,20.0,6,231.0,110.0,3300,12.8,1983,usa,oldsmobile,10000
oldsmobile toronado brougham 1984,18.0,8,307.0,140.0,3750,10.5,1984,usa,oldsmobile,10000
oldsmobile cutlass supreme international 1988,21.0,6,173.0,130.0,2900,9.0,1988,usa,oldsmobile,11500
oldsmobile toronado trofeo 1989,20.0,6,231.0,165.0,3450,9.0,1989,usa,oldsmobile,7000
oldsmobile bravada 1991,17.0,6,262.0,160.0,4150,9.8,1991,usa,oldsmobile,8000
oldsmobile aurora 1995,20.0,8,244.0,250.0,3900,7.5,1995,usa,oldsmobile,3500
chrysler lebaron convertible 1985,22.0,4,135.0,99.0,,2750,11.3,1985,usa,chrysler,4000
chrysler fifth avenue 1984,18.0,8,318.0,140.0,3800,12.0,1984,usa,chrysler,3200
chrysler new yorker 1988,19.0,4,153.0,100.0,3000,11.5,1988,usa,chrysler,2600
chrysler tc by maserati 1989,21.0,4,135.0,160.0,3050,8.5,1989,usa,chrysler,9000
chrysler lebaron gtc 1990,20.0,4,153.0,150.0,3100,9.0,1990,usa,chrysler,9000
chrysler concorde 1993,18.0,6,201.0,153.0,3400,10.0,1993,usa,chrysler,2500
chrysler lhs 1994,19.0,6,215.0,214.0,3600,8.6,1994,usa,chrysler,3500
chrysler sebring convertible 1996,21.0,6,152.0,168.0,3200,9.5,1996,usa,chrysler,4000
renault alliance 1983,30.0,4,85.0,64.0,1900,13.0,1983,europe,renault,3000
renault fuego 1984,24.0,4,134.0,103.0,2600,10.5,1984,europe,renault,5500
renault 5 turbo 1985,20.0,4,85.0,160.0,2150,7.0,1985,europe,renault,40000
renault medallion 1987,22.0,4,134.0,110.0,2750,11.0,1987,europe,renault,4000
renault espace 1988,21.0,4,122.0,110.0,3100,12.5,1988,europe,renault,3000
renault 21 1989,25.0,4,104.0,90.0,2400,11.8,1989,europe,renault,5000
renault clio 1990,35.0,4,73.0,55.0,1800,14.0,1990,europe,renault,1500
renault safrane 1992,23.0,6,183.0,170.0,3400,9.2,1992,europe,renault,5000
renault 9 1983,30.0,4,85.0,59.0,1830,15.0,1983,europe,renault,1000
