name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,creator,price
nissan altima 3.5 se 2003,21,6,213,245,3280,6,2003,nissan,3700
saab 9-3 aero 2002,24,4,122,205,3100,7,2002,saab,4000
pontiac gto 2006,17,8,364,400,3725,5,2006,pontiac,13000
mercedes-benz sl500 r129 1999,18,8,302,302,4170,6,1999,mercedes,18000
bmw z4 roadster e85 2006,22,6,183,255,3130,6,2006,bmw,16000
mitsubishi lancer evolution ix 2006,20,4,122,286,3263,5,2006,mitsubishi,40000
subaru impreza wrx sti 2005,19,4,153,300,3360,5,2005,subaru,24000
dodge charger srt8 2006,15,8,372,425,4160,5,2006,dodge,22000
volkswagen passat w8 2003,19,8,244,270,3700,6,2003,volkswagen,10000
chevrolet trailblazer ss 2006,14,8,364,395,4600,5,2006,chevrolet,15000
toyota camry solara se v6 2004,23,6,202,225,3490,7,2004,toyota,6000
volvo v70 r 2006,20,5,153,300,3700,6,2006,volvo,16600
ford mustang shelby gt500 2008,14,8,330,500,3920,4,2008,ford,35500
audi a6 3.2 fsi quattro 2007,22,6,195,255,3814,7,2007,audi,10000
mazda mx-5 miata 2006,26,4,122,170,2480,7,2006,mazda,13700
chevrolet corvette z06 c6 2006,18,8,427,505,3132,4,2006,chevrolet,41300
porsche 911 carrera s 997 2005,21,6,232,355,3241,5,2005,porsche,47500
nissan 350z touring 2007,20,6,213,306,3439,5,2007,nissan,11100
volkswagen golf gti 2009,24,4,122,200,3200,7,2009,volkswagen,7000
honda s2000 2007,20,4,134,237,2835,5,2007,honda,31000
dodge challenger r/t 2009,16,8,345,372,4041,5,2009,dodge,29500
jeep grand cherokee srt8 2008,12,8,372,420,4800,5,2008,jeep,16000
audi rs4 b7 2007,16,8,254,420,3957,5,2007,audi,25000
bmw m3 e92 2008,14,8,244,414,3704,4,2008,bmw,25000
ford f-150 svt raptor 2010,11,8,379,411,6000,7,2010,ford,24500
chevrolet camaro ss 2010,16,8,376,426,3860,5,2010,chevrolet,28300
volkswagen scirocco r 2011,27,4,122,261,3097,6,2011,volkswagen,13000
ferrari 458 italia 2010,14,8,275,562,3042,3,2010,ferrari,200000
lamborghini aventador lp700-4 2012,10,12,396,700,3472,3,2012,lamborghini,240900
porsche panamera turbo 2014,18,8,293,520,4400,4,2014,porsche,45000
jaguar f-type r 2015,18,8,305,550,3674,4,2015,jaguar,38500
chevrolet corvette z06 c7 2015,16,8,376,650,3524,3,2015,chevrolet,75000
audi rs7 sportback 2016,18,8,244,560,4475,4,2016,audi,55000
ford focus rs 2016,22,4,140,350,3434,5,2016,ford,28000
bmw m2 2016,23,6,183,365,3450,4,2016,bmw,33700
mercedes-amg gt s 2016,19,8,244,503,3560,4,2016,mercedes,76900
honda civic type r 2017,25,4,122,306,3117,6,2017,honda,32000
chevrolet camaro zl1 2017,14,8,376,650,3885,3,2017,chevrolet,59000
mazda cx-5 2017,28,4,152,187,3500,9,2017,mazda,18000
audi r8 v10 plus 2017,14,10,317,610,3669,3,2017,audi,140000
dodge charger hellcat 2018,13,8,376,707,4560,4,2018,dodge,50000
bmw m5 2018,17,8,268,600,4382,3,2018,bmw,56900
jeep wrangler rubicon 2018,18,6,220,285,4449,7,2018,jeep,37000
ford mustang shelby gt350 2019,14,8,317,526,3791,4,2019,ford,59600
toyota supra a90 2020,24,6,183,382,3397,4,2020,toyota,49700
chevrolet corvette stingray c8 2020,15,8,376,490,3366,3,2020,chevrolet,65000
mazda mx-5 miata rf 2020,26,4,122,181,2445,6,2020,mazda,23000
porsche 911 carrera s 992 2020,21,6,183,443,3360,3,2020,porsche,95000
bmw m8 competition 2020,17,8,268,617,4200,3,2020,bmw,100000
ferrari f8 tributo 2020,15,8,238,710,3160,3,2020,ferrari,298000
nissan gt-r nismo 2020,16,6,231,600,3935,3,2020,nissan,210000
audi rs q8 2021,15,8,244,591,5291,4,2021,audi,93400
ford bronco wildtrak 2021,20,6,164,330,4940,7,2021,ford,52000
toyota gr yaris 2021,29,3,98,268,2822,5,2021,toyota,38000
jeep grand cherokee l summit reverse 2021,19,8,345,357,5290,6,2021,jeep,62000
volkswagen golf gti 2021,28,4,122,241,3252,5,2021,volkswagen,27000
chevrolet monte carlo ss 1987,15,8,305,180,3456,8,1987,chevrolet,23000
toyota celica gt-four 1994,20,4,122,252,3170,6,1994,toyota,16800
bmw z3 roadster 1996,24,4,116,138,2756,8,1996,bmw,10200
dodge viper srt-10 2008,13,10,512,600,3450,3,2008,dodge,76200
mercedes-benz 190e 2.5-16 evolution ii 1990,18,4,153,235,2830,7,1990,mercedes,45000
toyota mr2 turbo 1995,24,4,122,200,2700,6,1995,toyota,29400
honda civic type r ek9 1997,27,4,98,182,2425,7,1997,honda,20000
chevrolet corvette z06 c5 2002,19,8,350,405,3118,4,2002,chevrolet,28000
ford mustang svt cobra 1993,17,8,302,235,3270,6,1993,ford,53200
toyota supra turbo mk4 1994,18,6,183,320,3450,5,1994,toyota,60000
ferrari 360 modena 1999,15,8,219,395,3197,4,1999,ferrari,98900
mitsubishi lancer evolution viii 2003,20,4,122,271,3263,5,2003,mitsubishi,23000
nissan skyline gt-r r34 1999,18,6,160,276,3660,5,1999,nissan,147000
bmw m3 e46 2001,17,6,195,333,3415,5,2001,bmw,27800
lamborghini diablo sv 1995,10,12,348,510,3625,4,1995,lamborghini,250000
audi s4 b5 2000,17,6,165,250,3549,6,2000,audi,10000
volkswagen golf r32 mk4 2003,21,6,195,237,3330,6,2003,volkswagen,17000
porsche 911 carrera s 997 2004,19,6,232,355,3175,4,2004,porsche,46000
chevrolet impala ss 1996,17,8,350,260,4041,7,1996,chevrolet,22500
mazda mx-5 miata nb 1999,25,4,110,140,2380,8,1999,mazda,8000
jaguar xj220 1992,13,6,213,542,3020,3,1992,jaguar,351100
bmw z8 2000,15,8,299,400,3494,4,2000,bmw,140000
subaru legacy gt spec b 2007,18,4,153,243,3435,6,2007,subaru,13000
volkswagen phaeton w12 2004,15,12,366,420,5190,6,2004,vollkswagen,10870
saab 9-3 viggen 1999,19,4,140,230,3120,6,1999,saab,7500
ford gt 2005,14,8,330,550,3485,3,2005,ford,350000
honda nsx 1991,21,6,183,270,3170,5,1991,honda,78100
plymouth prowler 1997,17,6,213,214,2883,6,1997,plymouth,32000
volkswagen corrado vr6 1995,22,6,178,190,2855,7,1995,volkswagen,12300
volvo 850 t-5r 1995,21,5,140,240,3360,7,1995,volvo,10000
chevrolet camaro ss 1998,19,8,350,320,3410,5,1998,chevrolet,18000
ferrari 550 maranello 1996,11,12,335,485,3725,4,1996,ferrari,94900
mitsubishi lancer evolution vi 1999,20,4,122,280,2954,5,1999,mitsubishi,33400
ford mustang svt cobra r 2000,15,8,330,385,3570,4,2000,ford,120000
subaru impreza wrx sti 2004,18,4,153,300,3263,5,2004,subaru,24600
ferrari f355 1995,12,8,213,375,2976,5,1995,ferrari,150000
bmw m5 e39 1998,19,8,299,394,4023,5,1998,bmw,20000
honda s2000 1999,24,4,122,240,2809,5,1999,honda,30000
mercedes-benz slr mclaren 2003,13,8,330,617,3897,4,2003,mercedes,350000
dodge viper gts 1996,12,10,488,450,3386,4,1996,dodge,50000
toyota supra mk4 1993,18,6,183,320,3450,5,1993,toyota,45000
audi rs2 avant 1994,17,5,134,311,3594,5,1994,audi,59700
pontiac firebird trans am 1985,15,8,305,210,3260,8,1985,pontiac,10000
chevrolet corvette zr-1 c4 1990,17,8,350,375,3460,4,1990,chevrolet,35000
porsche 928 gts 1992,15,8,330,345,3649,5,1992,porsche,73550
dodge stealth r/t twin turbo 1991,18,6,183,300,3790,5,1991,dodge,15000
ford thunderbird super coupe 1989,17,6,232,210,3667,7,1989,ford,12000
mercedes-benz 500e 1991,16,8,302,322,4000,5,1991,mercedes,35000
jaguar xjr 1997,18,8,244,370,4095,6,1997,jaguar,8000
toyota mr2 turbo 1991,24,4,122,200,2809,6,1991,toyota,18100
chevrolet lumina z34 1991,19,6,207,210,3240,7,1991,chevrolet,9000
volkswagen corrado vr6 1992,21,6,177,178,2866,6,1992,volkswagen,18700
buick regal gs 1997,18,6,231,240,3500,7,1997,buick,5500
toyota supra turbo 1987,20,6,183,230,3450,6,1987,toyota,27400
porsche 911 carrera 964 1989,17,6,219,247,3000,5,1989,porsche,59990
bmw z3 m roadster 1997,20,6,195,240,3175,5,1997,bmw,20000
mitsubishi 3000gt vr-4 1991,18,6,183,300,3760,5,1991,mitsubishi,20200
chevrolet camaro z28 1985,16,8,305,215,3270,7,1985,chevrolet,22310
ferrari testarossa 1984,11,12,302,390,3660,5,1984,ferrari,145000
honda prelude si 1987,24,4,122,135,2660,9,1987,honda,13000
ford taurus sho 1989,19,6,183,220,3235,7,1989,ford,10000
ford mustang svo 1984,21,4,140,205,3088,7,1984,ford,14000
bmw m5 e28 1985,16,6,210,282,3483,6,1985,bmw,40000
toyota celica all-trac turbo 1988,20,4,122,190,3240,7,1988,toyota,21500
dodge viper rt/10 1992,12,10,488,400,3400,5,1992,dodge,57000
subaru svx 1992,17,6,202,230,3590,7,1992,subaru,6000
nissan pulsar gti-r 1990,20,4,122,227,2750,5,1990,nissan,22200
pontiac fiero gt 1986,19,6,173,140,2700,8,1986,pontiac,11000
pontiac bonneville ssei 1992,17,6,231,205,3600,8,1992,pontiac,5000
pontiac grand prix gtp 1997,18,6,231,240,3534,7,1997,pontiac,14000
pontiac firebird formula 1998,18,8,350,305,3386,5,1998,pontiac,15000
pontiac grand am se 1985,22,4,151,92,2600,10,1985,pontiac,7300
pontiac sunbird gt turbo 1987,24,4,110,165,2650,8,1987,pontiac,7000
pontiac bonneville sse 1988,19,6,231,150,3300,9,1988,pontiac,8000
pontiac trans sport 1990,18,6,191,120,3700,11,1990,pontiac,3000
pontiac aztek 2001,19,6,207,185,3764,10,2001,pontiac,3500
pontiac solstice 2006,20,4,145,177,2860,7,2006,pontiac,9000
peugeot 205 gti 1984,28,4,97,105,2116,9,1984,peugeot,23200
peugeot 505 turbo 1986,22,4,134,142,3050,8,1986,peugeot,10000
peugeot 405 mi16 1988,24,4,116,160,2646,8,1988,peugeot,9750
peugeot 306 s16 1993,25,4,122,155,2535,8,1993,peugeot,7000
peugeot 309 gti 1989,27,4,116,130,2237,8,1989,peugeot,18500
peugeot 406 coupe v6 1997,21,6,183,194,3195,8,1997,peugeot,7000
peugeot 206 gti 1999,30,4,122,138,2380,8,1999,peugeot,2600
peugeot 406 coupe 1997,23,6,183,194,3285,8,1997,peugeot,6000
peugeot 607 v6 2000,20,6,183,210,3582,8,2000,peugeot,5500
peugeot 307 cc 2003,27,4,122,138,3060,10,2003,peugeot,3000
peugeot 307 hdi 2001,47,4,122,110,2860,11,2001,peugeot,1500
peugeot 407 hdi 2004,38,4,122,138,3461,11,2004,peugeot,2500
saab 900 turbo 1984,22,4,122,160,2775,8,1984,saab,10200
saab 9000 turbo 1986,20,4,122,160,3070,8,1986,saab,14000
saab 900 convertible 1987,21,4,122,135,2940,9,1987,saab,16000
saab 9000 cd 1991,24,4,140,200,3270,7,1991,saab,3000
saab 900 se turbo 1994,23,4,122,185,3000,7,1994,saab,12000
saab 9-5 aero 2002,20,4,140,250,3400,6,2002,saab,2500
saab 9-3 sport sedan 2003,24,4,122,210,3300,7,2003,saab,5000
opel manta gsi 1983,25,4,110,115,2430,9,1983,opel,10000
opel kadett gsi 1984,27,4,110,115,2150,9,1984,opel,10000
opel calibra 16v 1990,24,4,122,150,2710,8,1990,opel,2400
opel astra gsi 1993,26,4,122,150,2600,8,1993,opel,5000
opel zafira a opc 2001,21,4,122,192,3280,8,2001,opel,4000
opel speedster 2003,29,4,134,147,2070,6,2003,opel,28000
opel monza gse 1984,20,6,183,180,3100,8,1984,opel,30000
opel senator 3.0i 24v 1987,19,6,183,204,3420,8,1987,opel,4500
opel kadett gsi 16v 1988,28,4,122,156,2375,8,1988,opel,10000
opel astra f gsi 16v 1991,25,4,122,150,2510,8,1991,opel,6000
opel vectra a turbo 4x4 1992,22,4,122,204,3130,7,1992,opel,7000
opel corsa b gsi 1993,32,4,97,109,2200,9,1993,opel,5000
opel calibra turbo 4x4 1995,23,4,122,204,3110,7,1995,opel,9000
opel astra h opc 2005,24,4,122,240,3300,6,2005,opel,12000
fiat panda 1000 clx 1991,30,4,61,45,1540,16,1991,fiat,4000
fiat punto gt 1993,24,4,85,133,2210,8,1993,fiat,6000
fiat coupe 2.0 20v turbo 1996,22,5,122,220,2900,6,1996,fiat,12000
fiat bravo hgt 1997,23,5,122,147,2720,8,1997,fiat,3000
fiat multipla 1.9 jtd 1999,35,4,116,110,3200,12,1999,fiat,2000
oldsmobile cutlass supreme brougham 1983,20,6,231,110,3300,13,1983,oldsmobile,10000
oldsmobile toronado brougham 1984,18,8,307,140,3750,10,1984,oldsmobile,10000
oldsmobile cutlass supreme international 1988,21,6,173,130,2900,9,1988,oldsmobile,11500
oldsmobile toronado trofeo 1989,20,6,231,165,3450,9,1989,oldsmobile,7000
oldsmobile bravada 1991,17,6,262,160,4150,10,1991,oldsmobile,8000
oldsmobile aurora 1995,20,8,244,250,3900,7,1995,oldsmobile,3500
chrysler fifth avenue 1984,18,8,318,140,3800,12,1984,chrysler,3200
chrysler new yorker 1988,19,4,153,100,3000,11,1988,chrysler,2600
chrysler tc by maserati 1989,21,4,135,160,3050,8,1989,chrysler,9000
chrysler lebaron gtc 1990,20,4,153,150,3100,9,1990,chrysler,9000
chrysler concorde 1993,18,6,201,153,3400,10,1993,chrysler,2500
chrysler lhs 1994,19,6,215,214,3600,9,1994,chrysler,3500
chrysler sebring convertible 1996,21,6,152,168,3200,9,1996,chrysler,4000
renault alliance 1983,30,4,85,64,1900,13,1983,renault,3000
renault fuego 1984,24,4,134,103,2600,10,1984,renault,5500
renault 5 turbo 1985,20,4,85,160,2150,7,1985,renault,40000
renault medallion 1987,22,4,134,110,2750,11,1987,renault,4000
renault espace 1988,21,4,122,110,3100,12,1988,renault,3000
renault 21 1989,25,4,104,90,2400,12,1989,renault,5000
renault clio 1990,35,4,73,55,1800,14,1990,renault,1500
renault safrane 1992,23,6,183,170,3400,9,1992,renault,5000
renault 9 1983,30,4,85,59,1830,15,1983,renault,1000
renault 25 v6 turbo 1985,20,6,152,182,3200,8,1985,renault,4500
renault 11 turbo 1984,25,4,85,105,2000,9,1984,renault,5000
renault gta 1986,22,4,122,95,2700,10,1986,renault,2500
renault alpine gta v6 turbo 1987,18,6,152,200,2900,7,1987,renault,18000
renault 19 16v 1990,28,4,110,137,2400,8,1990,renault,3000
renault 19 1988,30,4,85,80,2200,12,1988,renault,2500
renault clio williams 1993,25,4,122,150,2325,8,1993,renault,6500
renault 21 turbo 1989,25,4,122,175,2900,7,1989,renault,7000
renault twingo 1993,39,4,73,55,1800,14,1993,renault,1000
renault laguna 1994,26,4,110,115,2900,11,1994,renault,2000
renault spider 1996,24,4,122,148,2100,7,1996,renault,35000
renault megane coupe 1995,28,4,122,140,2600,9,1995,renault,4000
subaru xt coupe 1985,28,4,110,97,2200,12,1985,subaru,3000
subaru legacy 1990,23,4,134,130,3000,10,1990,subaru,4000
subaru impreza wrx 1994,21,4,122,240,2800,5,1994,subaru,16000
subaru outback 1995,22,4,153,165,3200,9,1995,subaru,6000
subaru forester 1997,24,4,153,165,3100,9,1997,subaru,9500
subaru baja 2003,21,4,153,165,3400,10,2003,subaru,5600
lamborghini jalpa 1984,13,8,213,255,3300,6,1984,lamborghini,80000
lamborghini countach 5000 qv 1985,9,12,316,455,3300,5,1985,lamborghini,550000
lamborghini lm002 1986,8,12,316,444,5900,8,1986,lamborghini,400000
lamborghini diablo 1990,11,12,348,485,3560,4,1990,lamborghini,300000
lamborghini diablo vt 1993,10,12,348,492,3760,4,1993,lamborghini,300000
lamborghini murcielago 2001,8,12,378,572,3638,4,2001,lamborghini,275000
lamborghini gallardo 2003,12,10,305,493,3439,4,2003,lamborghini,95000
lamborghini murcielago lp640 2006,9,12,397,631,3670,3,2006,lamborghini,245000
lamborghini diablo vt roadster 1996,9,12,348,492,3858,4,1996,lamborghini,400000
lamborghini diablo gt 1999,8,12,366,575,3197,4,1999,lamborghini,500000
lamborghini murcielago roadster 2004,9,12,378,580,3638,4,2004,lamborghini,300000
lamborghini gallardo spyder 2005,12,10,305,520,3483,4,2005,lamborghini,80000
lamborghini huracan lp610-4 2014,14,10,317,610,3139,3,2014,lamborghini,230000
jaguar xj-s v12 he 1983,15,12,326,295,4015,8,1983,jaguar,18000
jaguar xj6 series iii 1984,17,6,256,176,3990,9,1984,jaguar,7000
jaguar xj-sc 1986,16,12,326,263,4100,8,1986,jaguar,15000
jaguar xk8 1996,18,8,244,290,3726,6,1996,jaguar,9000
jaguar s-type 1999,20,6,183,240,3700,7,1999,jaguar,7000
jaguar xkr 2000,17,8,244,370,3780,5,2000,jaguar,25000
jagaur x-type 2001,21,6,152,194,3483,8,2001,jaguar,4500
jaguar xj6 xj40 1987,18,6,219,221,3950,9,1987,jaguar,8000
jaguar xjr 1995,16,6,244,322,4200,6,1995,jaguar,13000
jaguar xj8 1997,17,8,244,290,4080,7,1997,jaguar,8000
jaguar xk x100 1997,18,8,244,290,3780,6,1997,jaguar,10000
jaguar x-type estate 2004,21,6,183,227,3665,7,2004,jaguar,3000
jaguar xkr x150 2006,17,8,256,420,3880,5,2006,jaguar,18000
jaguar xf 2008,18,8,256,300,3960,6,2008,jaguar,10000
jaguar xj x351 2010,19,8,305,385,4095,6,2010,jaguar,20000
jeep cherokee xj 1984,20,4,150,105,3100,14,1984,jeep,5000
jeep wrangler yj 1987,18,4,150,117,2900,13,1987,jeep,6000
jeep grand cherokee zj 1993,16,6,242,190,3600,9,1993,jeep,6500
jeep wrangler tj 1997,16,6,242,181,3310,9,1997,jeep,10000
jeep liberty kj 2002,18,6,226,210,4021,10,2002,jeep,6000
jeep commander xk 2006,15,8,287,235,4650,8,2006,jeep,5000
jeep wrangler jk 2007,16,6,231,202,3760,10,2007,jeep,15000
jeep grand cherokee wk2 2011,17,6,220,290,4650,7,2011,jeep,10000
jeep wagoneer 1984,15,6,258,112,3770,14,1984,jeep,6000
jeep wrangler sahara yj 1992,16,6,242,180,3070,10,1992,jeep,12000
jeep grand cherokee limited 1998,14,8,318,220,4070,9,1998,jeep,5000
jeep liberty kj 2005,17,6,226,210,4020,10,2005,jeep,4000
jeep patriot 2007,23,4,144,172,3280,9,2007,jeep,4500
jeep compass 2011,22,4,144,172,3200,10,2011,jeep,6900
jeep wrangler rubicon jk 2013,16,6,220,285,4295,8,2013,jeep,23000
mitsubishi starion 1983,20,4,156,145,2900,8,1983,mitsubishi,10000
mitsubishi galant vr-4 1988,18,4,122,195,3260,7,1988,mitsubishi,9000
mitsubishi eclipse gsx 1995,20,4,122,210,3150,6,1995,mitsubishi,10000
mitsubishi 3000gt vr-4 1999,18,6,183,320,3760,5,1999,mitsubishi,31000
mitsubishi outlander 2003,22,4,146,160,3300,10,2003,mitsubishi,3000
mitsubishi lancer evolution x 2015,17,4,122,303,3500,5,2015,mitsubishi,36500
mitsubishi galant 1987,23,4,122,110,2500,10,1987,mitsubishi,4500
mitsubishi pajero 1991,18,6,183,150,4200,11,1991,mitsubishi,2500
mitsubishi eclipse rs 2000,22,4,146,154,2930,8,2000,mitsubishi,4000
mitsubishi montero sport 2002,16,6,213,197,4200,10,2002,mitsubishi,6000
mitsubishi outlander 2010,21,4,146,168,3400,9,2010,mitsubishi,6500
mitsubishi asx 2013,26,4,122,148,3040,10,2013,mitsubishi,10000
mitsubishi l200 2015,29,4,146,181,4300,11,2015,mitsubishi,17000
mitsubishi mirage 2018,37,3,73,78,2050,13,2018,mitsubishi,7000
ferrari 512 tr 1991,10,12,300,428,3219,5,1991,ferrari,200000
ferrari 348 tb 1989,12,8,207,300,3200,6,1989,ferrari,75000
ferrari 456 gt 1992,10,12,335,442,3725,5,1992,ferrari,79000
ferrari 575m maranello 2002,9,12,350,508,3726,4,2002,ferrari,115000
ferrari f430 2004,12,8,262,483,3197,4,2004,ferrari,140000
ferrari california 2008,13,8,262,454,3725,4,2008,ferrari,115000
ferrari 612 scaglietti 2004,11,12,350,533,4080,4,2004,ferrari,75000
ferrari 599 gtb fiorano 2006,9,12,366,612,3722,3,2006,ferrari,199000
ferrari 458 spider 2011,14,8,274,562,3274,3,2011,ferrari,190000
ferrari f12 berlinetta 2012,12,12,384,730,3593,3,2012,ferrari,250000
ferrari ff 2013,11,12,384,651,4145,4,2013,ferrari,150000
ferrari 488 gtb 2015,15,8,238,661,3250,3,2015,ferrari,200000
ferrari gtc4lusso 2016,12,12,384,680,4299,3,2016,ferrari,220000
ferrari portofino 2018,16,8,238,591,3725,3,2018,ferrari,210000
porsche 968 1992,19,4,183,236,3197,6,1992,porsche,30000
porsche boxster 1996,20,6,153,201,2778,7,1996,porsche,15000
porsche 911 gt3 1999,16,6,219,355,3075,4,1999,porsche,55000
porsche cayenne 2002,15,8,274,340,5225,7,2002,porsche,13000
porsche panamera 2009,18,8,293,400,3968,5,2009,porsche,32000
porsche 911 turbo 930 1985,15,6,201,300,2954,5,1985,porsche,115000
porsche 928 s4 1987,14,8,302,316,3571,6,1987,porsche,39500
porsche 911 carrera rs 964 1992,17,6,219,260,2855,5,1992,porsche,165000
porsche 911 gt2 993 1995,14,6,219,430,2850,4,1995,porsche,300000
porsche 911 carrera 4 996 1998,18,6,207,300,3240,5,1998,porsche,30000
porsche 911 turbo 996 2000,15,6,219,420,3400,4,2000,porsche,35000
porsche cayman s 2006,20,6,207,295,2998,5,2006,porsche,25000
nissan 300zx 1984,19,6,183,160,3000,7,1984,nissan,15000
nissan pathfinder 1987,15,6,183,140,3900,10,1987,nissan,5000
nissan 240sx 1991,22,4,146,155,2700,8,1991,nissan,8000
nissan altima 1998,23,4,146,150,2950,9,1998,nissan,4500
nissan xterra 2000,16,6,202,170,4100,10,2000,nissan,4300
nissan gt-r 2009,16,6,231,480,3829,3,2009,nissan,84000
subaru gl wagon 1985,25,4,110,82,2350,13,1985,subaru,2000
subaru brz 2012,25,4,122,200,2762,6,2012,subaru,20000
mercedes-benz 190e 1984,22,4,140,130,2850,10,1984,mercedes,3500
mercedes-benz 560sl 1989,15,8,341,227,3760,7,1989,mercedes,25000
mercedes-benz e320 1994,19,6,195,217,3500,7,1994,mercedes,5900
mercedes-benz c230 kompressor 2000,23,4,140,185,3120,8,2000,mercedes,4000
mercedes-benz sl55 amg 2003,14,8,332,493,4400,4,2003,mercedes,20500
mercedes-benz cls500 2006,17,8,305,302,4025,6,2006,mercedes,7500
mercedes-benz s550 2010,15,8,336,382,4485,5,2010,mercedes,15000
mercedes-benz 300d 1985,23,5,183,123,3450,13,1985,mercedes,7900
mercedes-benz 560sel 1989,14,8,341,238,4160,7,1989,mercedes,15500
mercedes-benz e320 cabriolet 1994,20,6,195,217,3945,8,1994,mercedes,15000
mercedes-benz s320 1997,19,6,195,228,4300,9,1997,mercedes,7900
mercedes-benz slk230 1999,22,4,140,185,3020,7,1999,mercedes,6000
mercedes-benz ml320 2001,17,6,195,215,4485,8,2001,mercedes,4250
mercedes-benz e55 amg 2003,14,8,332,469,4145,4,2003,mercedes,18000
mercedes-benz g55 amg 2006,11,8,332,469,5550,5,2006,mercedes,40000
chevrolet monte carlo sport coupe 1970,14,8,350,165,3470,8,1970,chevrolet,20000
chevrolet corvette c3 stingray 1970,14,8,350,300,3100,7,1970,chevrolet,35000
chevrolet chevelle ss 396 1970,12,8,396,350,3500,7,1970,chevrolet,60000
chevrolet camaro z28 1970,12,8,350,360,3000,7,1970,chevrolet,40000
chevrolet impala ss 427 1970,12,8,427,385,3700,6,1970,chevrolet,38000
chevrolet nova ss 350 1970,13,8,350,300,3100,7,1970,chevrolet,22000
buick skylark custom convertible 1970,13,8,350,230,3550,9,1970,buick,26000
buick gs stage 1 1970,10,8,455,360,3874,6,1970,buick,79000
buick electra 225 custom 1970,11,8,455,370,4460,8,1970,buick,9700
buick riviera gs 1970,11,8,455,370,4210,8,1970,buick,20000
buick wildcat custom 4-door hardtop 1970,12,8,455,370,4120,8,1970,buick,5800
buick lesabre custom coupe 1970,13,8,350,260,3750,9,1970,buick,6200
buick sportwagon 400 1970,12,8,400,325,4090,8,1970,buick,12000
plymouth barracuda 1970,14,8,383,330,3550,12,1970,plymouth,54000
plymouth gtx 1970,15,8,440,375,3900,13,1970,plymouth,65000
plymouth road runner 1970,13,8,383,335,3600,12,1970,plymouth,42000
plymouth fury iii 1970,14,8,360,290,4000,14,1970,plymouth,21000
plymouth valiant 6 1970,19,6,225,105,2700,19,1970,plymouth,11500
amc javelin sst 1970,14,8,304,210,2900,7,1970,amc,34500
amc javelin amx 1970,13,8,390,325,3150,7,1970,amc,30000
amc rebel machine 1970,12,8,390,340,3500,6,1970,amc,74000
amc ambassador sst 1970,14,8,360,290,3500,8,1970,amc,11500
amc matador 1970,13,8,290,200,3200,8,1970,amc,13000
amc rebel 1970,13,8,290,220,3000,8,1970,amc,12500
amc hornet sc/360 1970,12,8,360,245,2800,7,1970,amc,15000
amc pacer 1970,18,6,232,145,2400,10,1970,amc,12000
ford mustang boss 302 1970,14,8,302,290,3100,7,1970,ford,91000
ford mustang mach 1 1970,15,8,351,330,3500,7,1970,ford,50000
ford torino gt 1970,14,8,302,220,3250,8,1970,ford,35000
ford torino cobra 1970,12,8,429,370,3750,6,1970,ford,60000
ford falcon futura 1970,18,6,200,120,2400,10,1970,ford,7000
ford falcon sports coupe 1970,16,8,302,220,2800,8,1970,ford,8000
ford mustang 428 cobra jet 1970,12,8,428,335,3500,6,1970,ford,50000
ford mustang grande 1970,14,8,302,210,3300,8,1970,ford,15000
ford torino gt 429 1970,13,8,429,360,3700,6,1970,ford,40000
pontiac gto judge 1970,10,8,400,370,3720,6,1970,pontiac,60000
pontiac firebird trans am 1970,10,8,400,345,3780,6,1970,pontiac,49000
pontiac bonneville 1970,9,8,455,370,4200,8,1970,pontiac,12000
pontiac lemans sport 1970,10,8,350,255,3500,7,1970,pontiac,10500
pontiac grand prix sj 1970,10,8,455,370,4140,7,1970,pontiac,13000
pontiac catalina sedan 1970,11,8,400,290,4200,8,1970,pontiac,7000
pontiac tempest t-37 1970,14,6,250,155,3400,9,1970,pontiac,15000
pontiac ventura ii 1970,15,6,250,155,3200,10,1970,pontiac,8000
pontiac executive 1970,9,8,428,360,4300,8,1970,pontiac,17000
dodge charger 500 1970,14,8,440,375,3500,6,1970,dodge,88500
dodge charger r/t 1970,12,8,426,425,3100,6,1970,dodge,42000
dodge dart swinger 340 1970,15,8,340,275,2800,7,1970,dodge,33000
dodge coronet super bee 1970,13,8,426,425,3200,6,1970,dodge,94900
dodge polara 500 1970,12,8,383,290,3500,8,1970,dodge,16000
toyota corolla 1600 1970,28,4,97,90,1830,13,1970,toyota,16500
toyota celica 1600 gt 1970,25,4,97,110,1870,10,1970,toyota,17000
toyota land cruiser 40 series 1970,17,6,151,130,3300,18,1970,toyota,27500
toyota stout 1970,20,4,112,105,2500,15,1970,toyota,10000
toyota corona rt43 1970,22,4,112,95,2280,14,1970,toyota,10000
toyota carina 1970,24,4,114,90,2430,14,1970,toyota,2500
datsun 240z 1970,24,6,147,151,2340,8,1970,datsun,13500
datsun 510 1970,30,4,97,96,2110,11,1970,datsun,17500
datsun 1600 1970,25,4,97,94,2040,12,1970,datsun,21500
datsun 1200 1970,35,4,73,69,1790,14,1970,datsun,20000
datsun 510 wagon 1970,28,4,97,96,2200,12,1970,datsun,28000
datsun 1200 coupe 1970,32,4,73,69,1740,14,1970,datsun,12000
datsun 2000 roadster 1970,24,4,122,135,2040,8,1970,datsun,25000
datsun 1600 roadster 1970,27,4,97,96,1910,11,1970,datsun,15500
peugeot 404 1970,23,4,108,88,2100,15,1970,peugeot,7000
